voter,label,primaryOption,height,isRecipient,startVotingPower,endVotingPower,windowPowerStatus,startVotingPowerSource,endVotingPowerSource,startDelegationCount,endDelegationCount,txHash
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,yes,4414864,True,0,57838,power_at_end_only,archive_staking_no_voting_power,archive_staking_delegations_chain_like,0,1,2163756502FF44AF25F1F41C5E1791ACC4236C8DC1ECBB0A825FDC4228BBBBBC
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,Votkon · gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,yes,4406965,True,69024,92840,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,68AAF23B69D68A7265D3F7CBBBC5F1F8AAF1148AC68F310C5DF991588C3E3E03
gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,yes,4430417,False,2688,20647,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,DAE6F185AA5013735B505B44C59F295D0994B7D818E2B724ADE2DC95D16674FB
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,yes,4401130,True,70043,86433,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,BC1D95F0A2C95BC02C56AFE4A1F169B778B1A01E6710215097BA27CE8E2155D8
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,no_with_veto,4412026,True,39406,25278,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,EB3997DE70CD373007828A268A2946749A449E0F5880773145E544A678E95836
gonka16r08lhm50zwjddmslfw2344z67r70vqul0dus6,gonka16r08lhm50zwjddmslfw2344z67r70vqul0dus6,no_with_veto,4413853,False,12425,0,power_at_start_only,archive_staking_delegations_chain_like,archive_staking_no_voting_power,1,0,2FC9CFFE8DE420F99E70663B071101BE89CD9DF7B9590CFF07F591582D5CCFCB
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,no_with_veto,4412030,False,40669,31063,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,879FDD98A0A26913154EBA8E9DB863CA8284C8F5DECC6CDDD8AB25DFD27B2B74
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,"ancapex | Mine from $1, no losses from node failures · gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09",no_with_veto,4430015,True,34369,28865,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,84D0A3CCE584407EEED45D96F30E944F8F6AB32ECFF933278770D6011E6E3E0E
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,yes,4406961,True,36458,31217,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,F149F6128C4D51CE95E34FD7DAD6C571A3EC0436C1027758828AFD26677D927A
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,yes,4406963,True,22538,19974,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,C92DB5B3B97546534A58946BB9B0925EE0344D1BED27852B011809BDB6AC3065
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,yes,4401160,True,1740,0,power_at_start_only,archive_staking_delegations_chain_like,archive_staking_no_voting_power,1,0,3597BA393E8D1B7672FB7E852751080FBD78EAD06454D8EE45DD7E396E07C6DB
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,Arturs Plisko · Hyperfusion · gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,no_with_veto,4404760,False,6207,5395,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,D6B76E32E90DBD496D487B65F4352BEF0FE12986AD91EAAE2730F637000F7A13
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,no_with_veto,4413730,True,4036,4565,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,65A60D30FF820270AD45CA9BD306884F76EF83D61A7EF48950075106AAFA14DA
gonka1m58jds005cttwq2vt0p7yk6vy2aqg254cqqppf,gonka1m58jds005cttwq2vt0p7yk6vy2aqg254cqqppf,no_with_veto,4422941,False,570,490,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,5D32B3CA64BC7B6A45EC13736561EBDD448DBAA776E3DBE539FDFAA7D0B1812A
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,no_with_veto,4422937,False,632,556,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,16500E199A71C7BCDECC96C3E2306CA5B7BA9C124EC78D38DF4D4A14D73718A9
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,no_with_veto,4401505,True,278,278,power_at_start_and_end,archive_staking_delegations_chain_like,archive_staking_delegations_chain_like,1,1,621C8D555F348D0ACD42A953E6BF1855B4CC2A391D388BA13B4454D80A4A5E78
gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,asd.gnk · gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,no_with_veto,4426014,False,0,0,zero_at_start_and_end,archive_staking_no_voting_power,archive_staking_no_voting_power,0,0,1E4919B2144F9A2065EBF76A8E22612659F503545A6E169FE954BFA4427F61D3
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,no_with_veto,4430201,True,0,0,zero_at_start_and_end,archive_staking_no_voting_power,archive_staking_no_voting_power,0,0,968C6B605887FFEFA4014384FCBAEFA6E84C2DA6CE9527C5598CDDFE576A8ABD
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,no_with_veto,4430200,True,0,0,zero_at_start_and_end,archive_staking_no_voting_power,archive_staking_no_voting_power,0,0,4E3CCBD1843951453C4597537BF45E9C7BECA6DE509BC305F4150C862EC1BB8F
gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,no_with_veto,4429647,False,0,0,zero_at_start_and_end,archive_staking_no_voting_power,archive_staking_no_voting_power,0,0,DD94D2782864280DB6CA45617CD9CAF9BD0EA2C8A6E85C60E650599D42DFDC59
gonka1mgdgcll2f4m0cjekqyueheeu7y8adz0hddfnh2,gonka1mgdgcll2f4m0cjekqyueheeu7y8adz0hddfnh2,yes,4416171,False,0,0,zero_at_start_and_end,archive_staking_no_voting_power,archive_staking_no_voting_power,0,0,46897B04D828FE49C88744CD65F0DAA3E6EC36FC84F5568EF918C44AC85C4089
gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,no_with_veto,4430202,False,0,0,zero_at_start_and_end,archive_staking_no_voting_power,archive_staking_no_voting_power,0,0,ECF9274238EA5B9D3675955AA4A247D57FAFD338F9E37E4C39BC902CF32E54C7
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,no_with_veto,4426629,False,0,0,zero_at_start_and_end,archive_staking_no_voting_power,archive_staking_no_voting_power,0,0,F34CD778155896EF96D5374FA5BCBE0AC5A83354B578A7B5774807E10763E25D
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,no_with_veto,4413855,True,0,0,zero_at_start_and_end,archive_staking_no_voting_power,archive_staking_no_voting_power,0,0,0620A2F8A4CC3EBA0EE85C32FC8035CEBC318378C7387618C06408E5B4A52B13
